# epoch  loss_total  rmse_e_train  rmse_f_train  rmse_h_train  rmse_e_test  rmse_f_test  rmse_h_test
1       0.21608      0.00998      0.18459      0.00846      0.00587      0.10825      0.00380      
2       0.05863      0.00556      0.10036      0.00321      0.00497      0.08723      0.00266      
3       0.04104      0.00486      0.08458      0.00241      0.00410      0.07604      0.00215      
4       0.03217      0.00438      0.07524      0.00197      0.00363      0.06890      0.00181      
5       0.02668      0.00408      0.06867      0.00170      0.00329      0.06310      0.00160      
6       0.02302      0.00401      0.06367      0.00152      0.00285      0.05921      0.00147      
7       0.02049      0.00382      0.06012      0.00139      0.00271      0.05624      0.00135      
8       0.01825      0.00339      0.05704      0.00129      0.00285      0.05341      0.00127      
9       0.01675      0.00324      0.05469      0.00122      0.00232      0.05129      0.00120      
10      0.01535      0.00316      0.05232      0.00116      0.00234      0.04937      0.00115      
11      0.01416      0.00301      0.05028      0.00110      0.00205      0.04758      0.00110      
12      0.01323      0.00297      0.04856      0.00106      0.00177      0.04621      0.00105      
13      0.01246      0.00289      0.04711      0.00102      0.00216      0.04459      0.00101      
14      0.01161      0.00273      0.04555      0.00099      0.00168      0.04336      0.00099      
15      0.01095      0.00263      0.04425      0.00097      0.00155      0.04264      0.00096      
16      0.01039      0.00257      0.04310      0.00094      0.00165      0.04116      0.00093      
17      0.00983      0.00257      0.04182      0.00092      0.00148      0.04010      0.00091      
18      0.00931      0.00235      0.04085      0.00091      0.00129      0.03932      0.00091      
19      0.00891      0.00245      0.03978      0.00089      0.00142      0.03813      0.00088      
20      0.00840      0.00231      0.03871      0.00087      0.00170      0.03734      0.00086      
21      0.00807      0.00221      0.03799      0.00086      0.00120      0.03628      0.00084      
22      0.00777      0.00220      0.03722      0.00084      0.00154      0.03656      0.00083      
23      0.00787      0.00257      0.03706      0.00083      0.00311      0.03454      0.00081      
24      0.00715      0.00220      0.03557      0.00082      0.00091      0.03436      0.00080      
25      0.00683      0.00200      0.03492      0.00081      0.00160      0.03326      0.00079      
26      0.00672      0.00212      0.03448      0.00081      0.00083      0.03284      0.00078      
27      0.00662      0.00221      0.03413      0.00078      0.00118      0.03245      0.00079      
28      0.00634      0.00210      0.03347      0.00078      0.00094      0.03165      0.00076      
29      0.00621      0.00207      0.03313      0.00076      0.00111      0.03190      0.00076      
30      0.00586      0.00187      0.03233      0.00076      0.00093      0.03212      0.00075      
31      0.00584      0.00198      0.03213      0.00075      0.00068      0.03014      0.00073      
32      0.00563      0.00188      0.03160      0.00075      0.00082      0.02972      0.00073      
33      0.00555      0.00206      0.03118      0.00074      0.00199      0.02936      0.00075      
34      0.00545      0.00179      0.03116      0.00075      0.00097      0.03024      0.00073      
35      0.00536      0.00185      0.03084      0.00072      0.00082      0.02911      0.00071      
36      0.00517      0.00187      0.03022      0.00072      0.00087      0.02832      0.00071      
37      0.00497      0.00170      0.02975      0.00072      0.00075      0.02766      0.00070      
38      0.00486      0.00175      0.02934      0.00070      0.00257      0.02752      0.00072      
39      0.00512      0.00206      0.02976      0.00073      0.00124      0.02967      0.00070      
40      0.00510      0.00194      0.02993      0.00070      0.00068      0.02744      0.00069      
41      0.00493      0.00216      0.02908      0.00069      0.00234      0.02886      0.00068      
42      0.00468      0.00168      0.02885      0.00069      0.00331      0.03039      0.00069      
43      0.00466      0.00179      0.02868      0.00068      0.00069      0.02636      0.00068      
44      0.00456      0.00182      0.02828      0.00068      0.00166      0.02623      0.00068      
45      0.00468      0.00210      0.02833      0.00067      0.00059      0.02654      0.00067      
46      0.00437      0.00173      0.02775      0.00067      0.00229      0.02605      0.00067      
47      0.00455      0.00208      0.02790      0.00067      0.00132      0.02643      0.00067      
48      0.00427      0.00159      0.02755      0.00066      0.00087      0.02718      0.00066      
49      0.00417      0.00161      0.02717      0.00066      0.00065      0.02528      0.00066      
50      0.00415      0.00159      0.02711      0.00067      0.00110      0.02594      0.00066      
51      0.00428      0.00174      0.02741      0.00066      0.00074      0.02489      0.00065      
52      0.00427      0.00193      0.02713      0.00065      0.00149      0.02516      0.00066      
53      0.00420      0.00196      0.02683      0.00066      0.00209      0.02474      0.00064      
54      0.00404      0.00182      0.02645      0.00065      0.00189      0.02468      0.00065      
55      0.00401      0.00183      0.02635      0.00065      0.00073      0.02456      0.00065      
56      0.00400      0.00184      0.02628      0.00065      0.00210      0.02437      0.00064      
57      0.00436      0.00190      0.02751      0.00065      0.00080      0.02463      0.00063      
58      0.00388      0.00167      0.02605      0.00064      0.00064      0.02553      0.00065      
59      0.00397      0.00187      0.02610      0.00065      0.00293      0.02660      0.00067      
60      0.00399      0.00190      0.02615      0.00065      0.00141      0.02409      0.00064      
61      0.00395      0.00172      0.02623      0.00065      0.00092      0.02385      0.00066      
62      0.00411      0.00191      0.02659      0.00064      0.00570      0.02409      0.00064      
63      0.00425      0.00251      0.02615      0.00064      0.00133      0.02390      0.00063      
64      0.00370      0.00164      0.02540      0.00064      0.00058      0.02365      0.00064      
65      0.00371      0.00179      0.02523      0.00065      0.00127      0.02344      0.00064      
66      0.00367      0.00167      0.02522      0.00065      0.00052      0.02323      0.00065      
67      0.00353      0.00158      0.02481      0.00063      0.00304      0.02470      0.00064      
68      0.00369      0.00193      0.02493      0.00064      0.00214      0.02330      0.00063      
69      0.00358      0.00164      0.02493      0.00064      0.00175      0.02429      0.00064      
70      0.00358      0.00167      0.02488      0.00063      0.00204      0.02447      0.00064      
71      0.00363      0.00169      0.02504      0.00064      0.00117      0.02277      0.00069      
72      0.00407      0.00230      0.02583      0.00064      0.00088      0.02412      0.00064      
73      0.00347      0.00174      0.02436      0.00063      0.00042      0.02262      0.00063      
74      0.00342      0.00161      0.02433      0.00064      0.00063      0.02452      0.00065      
75      0.00362      0.00179      0.02486      0.00064      0.00522      0.03923      0.00065      
76      0.00419      0.00222      0.02640      0.00065      0.00055      0.02304      0.00065      
77      0.00351      0.00186      0.02433      0.00064      0.00074      0.02340      0.00062      
78      0.00381      0.00200      0.02532      0.00064      0.00151      0.02358      0.00063      
79      0.00340      0.00166      0.02418      0.00064      0.00173      0.02229      0.00062      
80      0.00367      0.00189      0.02492      0.00064      0.00103      0.02290      0.00063      
81      0.00345      0.00175      0.02427      0.00063      0.00600      0.02348      0.00062      
82      0.00374      0.00218      0.02474      0.00063      0.00080      0.02285      0.00063      
83      0.00363      0.00214      0.02437      0.00064      0.00156      0.02278      0.00064      
84      0.00336      0.00159      0.02410      0.00063      0.00086      0.02289      0.00063      
85      0.00329      0.00164      0.02376      0.00063      0.00248      0.02302      0.00065      
86      0.00347      0.00180      0.02426      0.00064      0.00064      0.02236      0.00063      
87      0.00315      0.00142      0.02344      0.00063      0.00272      0.02393      0.00064      
88      0.00318      0.00174      0.02315      0.00063      0.00413      0.02430      0.00062      
89      0.00365      0.00221      0.02433      0.00064      0.00219      0.02312      0.00063      
90      0.00338      0.00201      0.02355      0.00063      0.00183      0.02245      0.00063      
91      0.00326      0.00169      0.02354      0.00064      0.00264      0.02394      0.00063      
92      0.00520      0.00270      0.02920      0.00065      0.00139      0.02281      0.00063      
93      0.00310      0.00159      0.02305      0.00062      0.00072      0.02202      0.00062      
94      0.00333      0.00202      0.02336      0.00063      0.00090      0.02249      0.00063      
95      0.00342      0.00186      0.02395      0.00064      0.00216      0.02161      0.00067      
96      0.00328      0.00161      0.02373      0.00065      0.00045      0.02204      0.00063      
97      0.00308      0.00172      0.02275      0.00063      0.00246      0.02355      0.00063      
98      0.00302      0.00142      0.02289      0.00063      0.00128      0.02170      0.00065      
99      0.00379      0.00236      0.02461      0.00064      0.00333      0.02192      0.00062      
100     0.00351      0.00253      0.02313      0.00063      0.00057      0.02173      0.00063      
