# Scan 1: FM->AFM sublattice rotation
# angle(deg) energy(eV)
0.0 -276.870941
5.0 -276.871246
10.0 -276.872162
15.0 -276.873688
20.0 -276.875824
25.0 -276.878510
30.0 -276.881775
35.0 -276.885559
40.0 -276.889862
45.0 -276.894684
50.0 -276.899902
55.0 -276.905579
60.0 -276.911621
65.0 -276.917969
70.0 -276.924622
75.0 -276.931519
80.0 -276.938599
85.0 -276.945831
90.0 -276.953156
95.0 -276.960480
100.0 -276.967773
105.0 -276.975006
110.0 -276.982086
115.0 -276.988983
120.0 -276.995636
125.0 -277.002014
130.0 -277.008026
135.0 -277.013641
140.0 -277.018829
145.0 -277.023529
150.0 -277.027710
155.0 -277.031311
160.0 -277.034302
165.0 -277.036682
170.0 -277.038391
175.0 -277.039429
180.0 -277.039764


# Scan 2: Global rotation
# angle(deg) energy(eV)
0.0 -276.870941
10.0 -276.870789
20.0 -276.870392
30.0 -276.869751
40.0 -276.868958
50.0 -276.868073
60.0 -276.867249
70.0 -276.866577
80.0 -276.866119
90.0 -276.865936
100.0 -276.866058
110.0 -276.866486
120.0 -276.867126
130.0 -276.867920
140.0 -276.868805
150.0 -276.869629
160.0 -276.870300
170.0 -276.870758
180.0 -276.870941
190.0 -276.870789
200.0 -276.870392
210.0 -276.869751
220.0 -276.868958
230.0 -276.868073
240.0 -276.867249
250.0 -276.866577
260.0 -276.866119
270.0 -276.865936
280.0 -276.866058
290.0 -276.866486
300.0 -276.867126
310.0 -276.867920
320.0 -276.868805
330.0 -276.869629
340.0 -276.870300
350.0 -276.870758
360.0 -276.870941


# Scan 3: Spiral
# twist(deg) energy(eV)
0.0 -276.870941
20.0 -276.871735
40.0 -276.874115
60.0 -276.877960
80.0 -276.883209
100.0 -276.889648
120.0 -276.896912
140.0 -276.904663
160.0 -276.912415
180.0 -276.919739
200.0 -276.926208
220.0 -276.931549
240.0 -276.935638
260.0 -276.938477
280.0 -276.940216
300.0 -276.941101
320.0 -276.941437
340.0 -276.941498
360.0 -276.941559
