# Scan 1: FM->AFM sublattice rotation
# angle(deg) energy(eV)
0.0 -293.695007
5.0 -293.695129
10.0 -293.695557
15.0 -293.696228
20.0 -293.697144
25.0 -293.698303
30.0 -293.699707
35.0 -293.701294
40.0 -293.703064
45.0 -293.704956
50.0 -293.706970
55.0 -293.709045
60.0 -293.711182
65.0 -293.713318
70.0 -293.715454
75.0 -293.717529
80.0 -293.719543
85.0 -293.721497
90.0 -293.723328
95.0 -293.725098
100.0 -293.726685
105.0 -293.728149
110.0 -293.729431
115.0 -293.730591
120.0 -293.731628
125.0 -293.732544
130.0 -293.733337
135.0 -293.733948
140.0 -293.734497
145.0 -293.734985
150.0 -293.735352
155.0 -293.735657
160.0 -293.735901
165.0 -293.736084
170.0 -293.736206
175.0 -293.736328
180.0 -293.736389


# Scan 2: Global rotation
# angle(deg) energy(eV)
0.0 -293.695007
10.0 -293.695496
20.0 -293.696838
30.0 -293.698975
40.0 -293.701538
50.0 -293.704224
60.0 -293.706726
70.0 -293.708801
80.0 -293.710144
90.0 -293.710571
100.0 -293.710083
110.0 -293.708679
120.0 -293.706604
130.0 -293.704041
140.0 -293.701355
150.0 -293.698792
160.0 -293.696777
170.0 -293.695435
180.0 -293.695007
190.0 -293.695496
200.0 -293.696838
210.0 -293.698975
220.0 -293.701538
230.0 -293.704224
240.0 -293.706726
250.0 -293.708801
260.0 -293.710144
270.0 -293.710571
280.0 -293.710083
290.0 -293.708679
300.0 -293.706604
310.0 -293.704041
320.0 -293.701355
330.0 -293.698792
340.0 -293.696777
350.0 -293.695435
360.0 -293.695007


# Scan 3: Spiral
# twist(deg) energy(eV)
0.0 -293.695007
20.0 -293.695923
40.0 -293.698425
60.0 -293.701965
80.0 -293.705933
100.0 -293.709717
120.0 -293.712891
140.0 -293.715332
160.0 -293.717041
180.0 -293.718323
200.0 -293.719482
220.0 -293.720703
240.0 -293.722046
260.0 -293.723389
280.0 -293.724487
300.0 -293.725220
320.0 -293.725525
340.0 -293.725281
360.0 -293.724792
